feature_name,feature_importance,rank,fold_number
ela_level.lda_qda_50,0.023806756939392576,9,15
ela_level.mmce_qda_10,0.022432907487288326,10,15
ela_level.mmce_mda_50,0.02075855113283658,11,15
ela_level.lda_mda_50,0.01931984160402231,12,15
nbc.nn_nb.cor,0.015400842921647161,13,15
ela_meta.lin_simple.coef.max_by_min,0.013845663283399017,14,15
ela_level.lda_mda_25,0.013680032228898818,15,15
ela_meta.lin_simple.adj_r2,0.013590738696776947,16,15
ela_level.lda_mda_10,0.013427345714213598,17,15
ela_meta.quad_w_interact.adj_r2,0.012114831783125874,18,15
ela_level.qda_mda_50,0.011557603283146426,19,15
pca.expl_var.cor_init,0.009282033426521896,20,15
ela_level.qda_mda_25,0.00912030720196156,21,15
ela_level.mmce_lda_25,0.009069284491066473,22,15
ela_level.mmce_lda_10,0.008934543053015314,23,15
ela_level.mmce_lda_50,0.00790488294084281,24,15
ela_distr.number_of_peaks,0.007531429512344241,25,15
nbc.nb_fitness.cor,0.005780496521494016,26,15
pca.expl_var_PC1.cor_x,0.0019233715202989965,27,15
ela_meta.lin_simple.intercept,0.36152212166258896,1,16
ic.eps.s,0.32925101463652573,2,16
ela_level.lda_qda_25,0.0742713942004862,3,16
disp.diff_median_25,0.07269407806379238,4,16
ela_distr.number_of_peaks,0.05145501217577103,5,16
pca.expl_var_PC1.cov_init,0.046467284230746156,6,16
ela_distr.skewness,0.04045572670437337,7,16
ela_level.lda_qda_10,0.039029828257179516,8,16
ela_level.lda_mda_25,0.024458147435460608,9,16
ela_level.lda_mda_50,0.02189189306305588,10,16
ela_meta.quad_simple.cond,0.021189748694364054,11,16
ela_meta.quad_w_interact.adj_r2,0.020588755129848788,12,16
ela_level.lda_mda_10,0.01970658562722272,13,16
pca.expl_var_PC1.cor_x,0.018078138908911686,14,16
ela_level.mmce_mda_50,0.018009067288860064,15,16
ela_meta.lin_simple.coef.max_by_min,0.017764709765041544,16,16
ela_level.lda_qda_50,0.016468459786554257,17,16
nbc.nn_nb.cor,0.014919379727665369,18,16
ela_level.mmce_qda_10,0.011480132598850964,19,16
ela_meta.lin_simple.adj_r2,0.01062104991575197,20,16
ela_level.qda_mda_50,0.007824654304942202,21,16
nbc.nb_fitness.cor,0.007653919178454531,22,16
ela_level.mmce_lda_10,0.007034738581925585,23,16
ela_level.mmce_lda_50,0.0064249491731174415,24,16
ela_level.mmce_lda_25,0.005617560682975871,25,16
ela_level.qda_mda_25,0.005437505675448056,26,16
pca.expl_var.cor_init,0.0025225048747798376,27,16
ela_meta.lin_simple.coef.min,0.33105803164947145,1,17
pca.expl_var_PC1.cov_init,0.32906207312684815,2,17
ic.eps.ratio,0.29205934695384883,3,17
disp.diff_median_25,0.10311586377905504,4,17
ela_level.lda_qda_10,0.06024857746165247,5,17
ela_level.lda_mda_10,0.04001802721410241,6,17
ela_distr.number_of_peaks,0.032577808797224425,7,17
ela_distr.skewness,0.028853762468779597,8,17
nbc.nn_nb.cor,0.02211579662814161,9,17
